"draw_date","method","suggested_last2","actual_last2","hit_last2","suggested_3digit","actual_3digit","hit_3digit","rank_hit"
"2017-08-16","frequency_score_v1","66,08,11,24,26,38,04,13,20,21,28,34,40,50,51,52,61,69,73,82","15","0","141,360,596,609,630,775,923,983,004,005,017,022,032,038,043,046,052,057,069,087","253,302,371,431","0",""
"2017-09-01","frequency_score_v1","66,08,11,24,26,38,04,13,15,20,21,28,34,40,50,51,52,61,69,73","45","0","141,360,596,609,630,775,923,983,004,005,017,022,032,038,043,046,052,057,069,087","195,224,653,679","0",""
"2017-09-16","frequency_score_v1","66,08,11,24,26,38,04,13,15,20,21,28,34,40,45,50,51,52,61,69","72","0","141,360,596,609,630,775,923,983,004,005,017,022,032,038,043,046,052,057,069,087","143,340,647,711","0",""
"2017-10-01","frequency_score_v1","66,08,11,24,26,38,04,13,15,20,21,28,34,40,45,50,51,52,61,69","11","1","141,360,596,609,630,775,923,983,004,005,017,022,032,038,043,046,052,057,069,087","462,526,714,726","0","3"
"2017-10-16","frequency_score_v1","66,11,08,24,26,38,04,13,15,20,21,28,34,40,45,50,51,52,61,69","80","0","141,360,596,609,630,775,923,983,004,005,017,022,032,038,043,046,052,057,069,087","128,494,861,971","0",""
"2017-11-01","frequency_score_v1","66,11,08,24,26,38,04,13,15,20,21,28,34,40,45,50,51,52,61,69","65","0","141,360,596,609,630,775,923,983,004,005,017,022,032,038,043,046,052,057,069,087","036,425,726,851","0",""
"2017-11-16","frequency_score_v1","66,11,08,24,26,38,04,13,15,20,21,28,34,40,45,50,51,52,61,65","31","0","141,360,596,609,630,726,775,923,983,004,005,017,022,032,036,038,043,046,052,057","391,477,961,988","0",""
"2017-12-01","frequency_score_v1","66,11,08,24,26,38,04,13,15,20,21,28,31,34,40,45,50,51,52,61","03","0","141,360,477,596,609,630,726,775,923,983,004,005,017,022,032,036,038,043,046,052","005,257,333,626","1","12"
"2017-12-16","frequency_score_v1","66,11,08,24,26,38,03,04,13,15,20,21,28,31,34,40,45,50,51,52","16","0","005,141,333,360,477,596,609,630,726,775,923,983,004,017,022,032,036,038,043,046","290,596,836,896","1","6"
"2017-12-30","frequency_score_v1","66,11,08,24,26,38,03,04,13,15,16,20,21,28,31,34,40,45,50,51","73","0","596,005,141,333,360,477,609,630,726,775,923,983,004,017,022,032,036,038,043,046","234,495,504,983","1","12"
"2018-01-17","frequency_score_v1","66,11,08,24,26,38,73,03,04,13,15,16,20,21,28,31,34,40,45,50","24","1","596,983,005,141,333,360,477,609,630,726,775,923,004,017,022,032,036,038,043,046","236,506,799,823","0","4"
"2018-02-01","frequency_score_v1","66,11,24,08,26,38,73,03,04,13,15,16,20,21,28,31,34,40,45,50","06","0","596,983,005,141,333,360,477,609,630,726,775,923,004,017,022,032,036,038,043,046","181,311,853,947","0",""
"2018-02-16","frequency_score_v1","66,11,24,08,26,38,73,03,04,06,13,15,16,20,21,28,31,34,40,45","07","0","596,983,005,141,333,360,477,609,630,726,775,923,947,004,017,022,032,036,038,043","230,388,390,915","0",""
